iter	Passed	Remaining
425	1979	39845
426	1984	39844
427	1990	39860
428	1994	39846
429	1998	39828
430	2003	39825
431	2008	39838
432	2013	39834
433	2017	39827
434	2023	39841
435	2028	39842
436	2033	39851
437	2039	39872
438	2045	39887
439	2050	39885
440	2056	39905
441	2061	39918
442	2067	39929
443	2073	39949
444	2077	39936
445	2081	39923
446	2086	39924
447	2090	39908
448	2094	39891
449	2098	39877
450	2103	39878
451	2107	39862
452	2111	39846
453	2115	39829
454	2120	39830
455	2124	39813
456	2128	39796
457	2132	39780
458	2138	39783
459	2142	39767
460	2146	39751
461	2151	39751
462	2155	39739
463	2159	39725
464	2163	39708
465	2168	39713
466	2172	39697
467	2176	39681
468	2180	39668
469	2185	39669
470	2189	39656
471	2194	39642
472	2199	39645
473	2203	39638
474	2207	39626
475	2211	39611
476	2217	39630
477	2222	39620
478	2226	39605
479	2231	39616
480	2236	39607
481	2240	39592
482	2245	39590
483	2250	39596
484	2254	39585
485	2258	39572
486	2263	39575
487	2268	39561
488	2272	39547
489	2276	39532
490	2281	39533
491	2285	39523
492	2289	39511
493	2295	39517
494	2299	39509
495	2303	39497
496	2307	39485
497	2313	39490
498	2317	39482
499	2321	39471
500	2325	39457
501	2330	39458
502	2335	39445
503	2339	39430
504	2344	39431
505	2348	39423
506	2353	39418
507	2357	39416
508	2363	39427
509	2368	39430
510	2373	39428
511	2378	39435
512	2383	39426
513	2387	39415
514	2392	39424
515	2397	39421
516	2402	39424
517	2408	39440
518	2413	39439
519	2418	39433
520	2422	39421
521	2427	39422
522	2431	39409
523	2435	39394
524	2440	39393
525	2444	39382
526	2448	39371
527	2453	39360
528	2458	39369
529	2462	39356
530	2466	39344
531	2471	39338
532	2476	39337
533	2480	39326
534	2484	39317
535	2490	39325
536	2494	39312
537	2498	39301
538	2503	39291
539	2508	39300
540	2513	39293
541	2517	39284
542	2522	39286
543	2526	39275
544	2530	39264
545	2535	39251
546	2540	39256
547	2545	39252
548	2549	39245
549	2554	39249
550	2559	39240
551	2563	39232
552	2568	39233
553	2573	39227
554	2578	39227
555	2582	39218
556	2587	39228
557	2592	39214
558	2596	39200
559	2600	39187
560	2605	39192
561	2609	39181
562	2613	39171
563	2618	39173
564	2623	39161
565	2627	39148
566	2631	39136
567	2636	39139
568	2640	39126
569	2644	39113
570	2648	39101
571	2654	39105
572	2659	39107
573	2663	39104
574	2669	39114
575	2673	39103
576	2677	39090
577	2683	39097
578	2687	39085
579	2691	39074
580	2696	39068
581	2701	39072
582	2705	39063
583	2709	39050
584	2715	39055
585	2719	39043
586	2723	39030
587	2727	39024
588	2732	39025
589	2736	39013
590	2741	39003
591	2746	39010
592	2751	39011
593	2756	39002
594	2760	38998
595	2766	39005
596	2770	38993
597	2774	38986
598	2779	38984
599	2783	38972
600	2787	38960
601	2791	38947
602	2797	38950
603	2801	38938
604	2806	38937
605	2811	38940
606	2815	38929
607	2819	38923
608	2824	38918
609	2829	38922
610	2833	38910
611	2838	38899
612	2843	38898
613	2848	38902
614	2852	38893
615	2856	38884
616	2862	38889
617	2866	38877
618	2870	38865
619	2874	38858
620	2880	38865
621	2885	38863
622	2889	38852
623	2894	38858
624	2899	38848
625	2903	38835
626	2908	38840
627	2913	38836
628	2917	38824
629	2921	38815
630	2926	38814
631	2930	38805
632	2935	38796
633	2940	38797
634	2945	38802
635	2949	38793
636	2954	38788
637	2959	38793
638	2963	38782
639	2968	38775
640	2973	38780
641	2978	38774
642	2982	38760
643	2986	38749
644	2992	38757
645	2996	38746
646	3000	38734
647	3005	38741
648	3010	38731
649	3014	38725
650	3018	38713
651	3023	38713
652	3027	38704
653	3032	38694
654	3037	38696
655	3042	38696
656	3046	38685
657	3050	38674
658	3056	38683
659	3060	38671
660	3064	38662
661	3069	38667
662	3074	38656
663	3078	38645
664	3082	38634
665	3087	38632
666	3091	38626
667	3095	38614
668	3101	38620
669	3105	38614
670	3171	39364
671	3176	39369
672	3183	39388
673	3188	39390
674	3194	39392
675	3199	39398
676	3204	39394
677	3208	39386
678	3213	39376
679	3219	39389
680	3223	39382
681	3228	39374
682	3233	39372
683	3237	39367
684	3242	39359
685	3247	39359
686	3251	39347
687	3257	39351
688	3272	39470
689	3276	39461
690	3282	39465
691	3286	39457
692	3290	39445
693	3295	39442
694	3299	39430
695	3303	39417
696	3307	39403
697	3312	39403
698	3317	39391
699	3321	39378
700	3324	39363
701	3330	39364
702	3334	39351
703	3338	39336
704	3343	39340
705	3348	39333
706	3352	39319
707	3356	39306
708	3360	39301
709	3364	39289
710	3369	39279
711	3373	39268
712	3379	39274
713	3383	39262
714	3387	39253
715	3392	39251
716	3396	39240
717	3400	39228
718	3405	39217
719	3410	39223
720	3415	39219
721	3419	39210
722	3425	39218
723	3430	39213
724	3434	39202
725	3439	39204
726	3444	39198
727	3448	39188
728	3453	39185
729	3458	39185
730	3463	39174
731	3467	39167
732	3473	39176
733	3478	39174
734	3482	39163
735	3488	39170
736	3492	39159
737	3496	39148
738	3501	39136
739	3506	39137
740	3511	39133
741	3515	39121
742	3519	39110
743	3524	39108
744	3528	39096
745	3532	39085
746	3537	39086
747	3542	39076
748	3546	39066
749	3550	39055
750	3555	39055
751	3559	39043
752	3563	39033
753	3569	39036
754	3573	39026
755	3577	39016
756	3582	39004
757	3586	39001
758	3591	38990
759	3595	38979
760	3599	38966
761	3604	38965
762	3608	38953
763	3612	38942
764	3617	38942
765	3621	38933
766	3626	38923
767	3630	38912
768	3635	38916
769	3640	38906
770	3644	38898
771	3650	38908
772	3654	38898
773	3659	38895
774	3663	38884
775	3669	38887
776	3673	38877
777	3677	38866
778	3682	38865
779	3686	38854
780	3690	38842
781	3695	38831
782	3700	38839
783	3705	38827
784	3709	38815
785	3714	38814
786	3718	38807
787	3722	38797
788	3726	38785
789	3732	38786
790	3736	38775
791	3740	38763
792	3744	38753
793	3749	38754
794	3754	38744
795	3758	38735
796	3763	38732
797	3767	38724
798	3772	38720
799	3778	38726
800	3782	38716
801	3786	38704
802	3790	38693
803	3795	38690
804	3799	38679
805	3804	38674
806	3808	38663
807	3813	38666
808	3818	38661
809	3822	38651
810	3828	38653
811	3832	38648
812	3837	38641
813	3842	38641
814	3847	38642
815	3851	38633
816	3856	38624
817	3861	38624
818	3865	38614
819	3869	38604
820	3875	38607
821	3879	38599
822	3883	38588
823	3887	38576
824	3892	38574
825	3897	38564
826	3901	38553
827	3905	38547
828	3911	38549
829	3915	38538
830	3919	38528
831	3924	38525
832	3928	38515
833	3932	38504
834	3936	38494
835	3942	38496
836	3946	38486
837	3950	38476
838	3956	38484
839	3962	38490
840	3966	38482
841	3971	38483
842	3976	38474
843	3980	38468
844	3985	38465
845	3990	38465
846	3994	38454
847	3999	38448
848	4004	38443
849	4008	38437
850	4013	38429
851	4017	38422
852	4023	38424
853	4028	38422
854	4032	38411
855	4037	38410
856	4041	38401
857	4045	38391
858	4049	38382
859	4055	38384
860	4059	38375
861	4063	38365
862	4068	38365
863	4073	38359
864	4077	38348
865	4081	38338
866	4087	38342
867	4092	38338
868	4096	38333
869	4102	38336
870	4106	38325
871	4110	38315
872	4114	38306
873	4119	38305
874	4124	38294
875	4128	38283
876	4133	38281
877	4137	38271
878	4141	38262
879	4145	38252
880	4151	38255
881	4155	38244
882	4159	38233
883	4163	38223
884	4168	38222
885	4172	38212
886	4176	38203
887	4182	38207
888	4186	38197
889	4191	38190
890	4195	38183
891	4200	38185
892	4205	38179
893	4209	38168
894	4215	38172
895	4219	38163
896	4223	38153
897	4227	38143
898	4232	38139
899	4237	38133
900	4241	38127
901	4247	38130
902	4251	38121
903	4255	38111
904	4259	38101
905	4264	38098
906	4268	38089
907	4272	38078
908	4277	38074
909	4281	38064
910	4285	38054
911	4289	38045
912	4294	38043
913	4299	38033
914	4303	38023
915	4307	38012
916	4312	38013
917	4316	38005
918	4320	37995
919	4326	37994
920	4330	37985
921	4335	37981
922	4339	37977
923	4345	37980
924	4349	37969
925	4353	37961
926	4359	37966
927	4363	37957
928	4367	37946
929	4372	37939
930	4378	37944
