iter	Passed	Remaining
432	1562	27297
433	1565	27293
434	1568	27283
435	1572	27273
436	1575	27262
437	1578	27254
438	1581	27244
439	1585	27235
440	1588	27227
441	1591	27218
442	1595	27210
443	1598	27206
444	1601	27197
445	1605	27187
446	1608	27179
447	1611	27169
448	1615	27162
449	1619	27164
450	1622	27165
451	1626	27165
452	1630	27158
453	1633	27152
454	1636	27143
455	1640	27135
456	1643	27126
457	1646	27118
458	1650	27111
459	1653	27102
460	1656	27093
461	1659	27083
462	1663	27075
463	1666	27067
464	1669	27057
465	1673	27048
466	1676	27044
467	1679	27036
468	1683	27030
469	1687	27040
470	1691	27032
471	1694	27024
472	1698	27023
473	1702	27034
474	1706	27031
475	1709	27022
476	1713	27026
477	1718	27047
478	1722	27041
479	1726	27046
480	1730	27053
481	1735	27066
482	1738	27060
483	1742	27051
484	1746	27054
485	1750	27069
486	1754	27065
487	1757	27056
488	1761	27050
489	1765	27054
490	1769	27059
491	1772	27051
492	1775	27041
493	1779	27041
494	1783	27039
495	1786	27031
496	1790	27023
497	1793	27014
498	1797	27013
499	1800	27004
500	1803	26999
501	1807	26992
502	1810	26984
503	1813	26978
504	1817	26970
505	1820	26962
506	1823	26954
507	1827	26948
508	1830	26943
509	1834	26936
510	1837	26929
511	1840	26921
512	1844	26915
513	1847	26906
514	1850	26899
515	1854	26891
516	1857	26882
517	1860	26874
518	1863	26866
519	1867	26858
520	1870	26849
521	1873	26842
522	1877	26840
523	1880	26834
524	1884	26828
525	1887	26821
526	1891	26815
527	1894	26816
528	1898	26816
529	1902	26816
530	1906	26815
531	1910	26811
532	1913	26804
533	1916	26798
534	1920	26795
535	1923	26788
536	1927	26784
537	1930	26780
538	1934	26773
539	1937	26766
540	1940	26758
541	1944	26753
542	1948	26759
543	1952	26754
544	1955	26746
545	1959	26749
546	1964	26763
547	1967	26759
548	1971	26752
549	1975	26756
550	1979	26758
551	1984	26771
552	1988	26777
553	1992	26786
554	1997	26796
555	2001	26790
556	2004	26782
557	2008	26782
558	2013	26796
559	2017	26797
560	2020	26793
561	2024	26799
562	2029	26815
563	2033	26810
564	2036	26805
565	2041	26808
566	2045	26814
567	2048	26808
568	2052	26801
569	2055	26795
570	2059	26795
571	2062	26788
572	2066	26782
573	2069	26776
574	2073	26772
575	2076	26766
576	2080	26760
577	2083	26756
578	2087	26750
579	2091	26754
580	2094	26749
581	2098	26744
582	2101	26737
583	2105	26732
584	2108	26726
585	2111	26719
586	2115	26712
587	2118	26706
588	2122	26703
589	2125	26696
590	2129	26694
591	2133	26699
592	2137	26702
593	2141	26702
594	2145	26696
595	2148	26690
596	2151	26685
597	2155	26681
598	2159	26678
599	2162	26673
600	2166	26666
601	2169	26660
602	2173	26656
603	2176	26650
604	2179	26646
605	2183	26640
606	2186	26634
607	2190	26629
608	2194	26632
609	2198	26630
610	2202	26630
611	2206	26631
612	2210	26640
613	2214	26634
614	2217	26629
615	2221	26631
616	2225	26631
617	2229	26635
618	2233	26630
619	2236	26624
620	2242	26641
621	2245	26641
622	2249	26635
623	2252	26630
624	2256	26631
625	2261	26643
626	2265	26644
627	2269	26639
628	2273	26641
629	2277	26647
630	2281	26641
631	2284	26635
632	2288	26635
633	2293	26648
634	2297	26649
635	2301	26644
636	2305	26643
637	2309	26644
638	2312	26638
639	2315	26632
640	2319	26633
641	2323	26628
642	2327	26628
643	2331	26629
644	2334	26626
645	2338	26619
646	2342	26616
647	2345	26614
648	2349	26609
649	2352	26603
650	2356	26603
651	2359	26596
652	2364	26598
653	2367	26591
654	2370	26586
655	2374	26581
656	2377	26574
657	2381	26567
658	2384	26560
659	2388	26558
660	2391	26552
661	2395	26551
662	2399	26549
663	2402	26546
664	2406	26542
665	2410	26540
666	2413	26536
667	2417	26530
668	2420	26526
669	2424	26520
670	2427	26514
671	2430	26509
672	2434	26504
673	2438	26503
674	2441	26499
675	2446	26502
676	2450	26503
677	2454	26503
678	2457	26497
679	2460	26491
680	2464	26485
681	2468	26485
682	2471	26481
683	2475	26477
684	2479	26475
685	2482	26470
686	2486	26467
687	2489	26462
688	2493	26457
689	2496	26451
690	2500	26448
691	2504	26444
692	2507	26438
693	2510	26433
694	2514	26428
695	2518	26425
696	2521	26424
697	2525	26420
698	2529	26417
699	2532	26415
700	2536	26410
701	2539	26405
702	2543	26399
703	2546	26394
704	2550	26394
705	2554	26394
706	2558	26395
707	2562	26393
708	2566	26389
709	2569	26387
710	2573	26382
711	2577	26378
712	2581	26379
713	2584	26378
714	2588	26372
715	2591	26368
716	2595	26362
717	2598	26359
718	2602	26355
719	2606	26349
720	2609	26343
721	2612	26338
722	2616	26336
723	2620	26331
724	2623	26329
725	2627	26323
726	2630	26318
727	2634	26315
728	2637	26309
729	2641	26306
730	2644	26301
731	2648	26296
732	2652	26293
733	2655	26287
734	2658	26281
735	2662	26281
736	2667	26284
737	2671	26284
738	2675	26284
739	2679	26283
740	2682	26280
741	2686	26274
742	2689	26270
743	2693	26264
744	2696	26260
745	2700	26257
746	2703	26252
747	2707	26247
748	2710	26242
749	2714	26240
750	2718	26237
751	2721	26231
752	2725	26227
753	2728	26222
754	2732	26218
755	2735	26213
756	2739	26207
757	2742	26201
758	2746	26198
759	2749	26194
760	2753	26188
761	2756	26183
762	2759	26177
763	2763	26174
764	2767	26172
765	2770	26166
766	2774	26160
767	2777	26155
768	2781	26154
769	2785	26155
770	2789	26151
771	2792	26145
772	2796	26144
773	2799	26139
774	2803	26133
775	2806	26128
776	2810	26124
777	2814	26121
778	2817	26118
779	2821	26112
780	2824	26108
781	2828	26105
782	2831	26101
783	2835	26096
784	2838	26090
785	2842	26084
786	2845	26081
787	2850	26089
788	2854	26085
789	2857	26081
790	2861	26081
791	2865	26083
792	2869	26077
793	2872	26073
794	2876	26068
795	2881	26077
796	2885	26077
797	2889	26076
798	2893	26080
799	2898	26082
800	2901	26078
801	2905	26073
802	2908	26068
803	2913	26075
804	2916	26070
805	2920	26063
806	2923	26058
807	2928	26065
808	2931	26061
809	2935	26055
810	2938	26049
811	2942	26044
812	2946	26047
813	2949	26041
814	2953	26036
815	2956	26030
816	2960	26031
817	2964	26030
818	2968	26024
819	2971	26018
820	2974	26013
821	2979	26019
822	2983	26013
823	2986	26007
824	2989	26001
825	2994	26004
826	2997	26000
827	3000	25993
828	3004	25986
829	3007	25979
830	3011	25982
831	3015	25977
832	3019	25976
833	3022	25971
834	3027	25977
835	3031	25977
836	3034	25972
837	3038	25970
838	3043	25972
839	3047	25975
840	3050	25970
841	3054	25964
842	3058	25964
843	3062	25963
844	3065	25957
845	3069	25952
846	3072	25946
847	3077	25953
848	3080	25948
849	3084	25943
850	3087	25937
851	3092	25940
852	3095	25940
853	3099	25936
854	3103	25931
855	3107	25931
856	3111	25933
857	3114	25927
858	3118	25921
859	3121	25916
860	3126	25921
861	3129	25915
862	3133	25911
863	3136	25905
864	3140	25905
865	3144	25904
866	3148	25899
867	3151	25893
868	3154	25887
869	3159	25892
870	3162	25886
871	3166	25880
872	3169	25873
873	3174	25879
874	3177	25874
875	3180	25868
876	3184	25862
877	3187	25855
878	3192	25859
879	3195	25853
880	3198	25848
881	3202	25843
882	3206	25847
883	3210	25841
884	3213	25835
885	3216	25829
886	3220	25824
887	3224	25827
888	3228	25821
889	3231	25816
890	3235	25812
891	3239	25814
892	3242	25808
893	3246	25802
894	3249	25797
895	3253	25792
896	3257	25792
897	3261	25790
898	3264	25784
899	3267	25778
900	3272	25782
